Sex,Year,Sport,Event,Medal,Region
M,1920,Aquatics,Diving Men's Platform,Bronze,USA
M,1920,Aquatics,Diving Men's Platform,Gold,USA
M,1920,Aquatics,Diving Men's Springboard,Bronze,USA
M,1920,Aquatics,Diving Men's Springboard,Gold,USA
M,1920,Aquatics,Diving Men's Springboard,Silver,USA
F,1920,Aquatics,Diving Women's Plain High,Silver,UK
F,1920,Aquatics,Diving Women's Springboard,Bronze,USA
F,1920,Aquatics,Diving Women's Springboard,Gold,USA
F,1920,Aquatics,Diving Women's Springboard,Silver,USA
M,1920,Aquatics,Rowing Men's Coxed Eights,Gold,USA
M,1920,Aquatics,Rowing Men's Coxed Eights,Silver,UK
M,1920,Aquatics,Rowing Men's Coxed Fours,Silver,USA
M,1920,Aquatics,Rowing Men's Coxed Pairs,Silver,France
M,1920,Aquatics,Rowing Men's Double Sculls,Bronze,France
M,1920,Aquatics,Rowing Men's Double Sculls,Gold,USA
M,1920,Aquatics,Rowing Men's Single Sculls,Gold,USA
M,1920,Aquatics,Rowing Men's Single Sculls,Silver,UK
M,1920,Aquatics,Sailing Mixed 6.5 metres,Silver,France
F,1920,Aquatics,Sailing Mixed 7 metres,Gold,UK
M,1920,Aquatics,Sailing Mixed 7 metres,Gold,UK
M,1920,Aquatics,"Swimming Men's 1,500 metres Freestyle",Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Backstroke,Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Backstroke,Silver,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Bronze,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Gold,USA
M,1920,Aquatics,Swimming Men's 100 metres Freestyle,Silver,USA
M,1920,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,UK
M,1920,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,USA
M,1920,Aquatics,Swimming Men's 400 metres Freestyle,Gold,USA
M,1920,Aquatics,Swimming Men's 400 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Bronze,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Gold,USA
F,1920,Aquatics,Swimming Women's 100 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Bronze,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Gold,USA
F,1920,Aquatics,Swimming Women's 300 metres Freestyle,Silver,USA
F,1920,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
F,1920,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,UK
M,1920,Athletics,"Athletics Men's 1,500 metres",Bronze,USA
M,1920,Athletics,"Athletics Men's 1,500 metres",Gold,UK
M,1920,Athletics,"Athletics Men's 1,500 metres",Silver,UK
M,1920,Athletics,Athletics Men's 10 kilometres Walk,Bronze,UK
M,1920,Athletics,Athletics Men's 10 kilometres Walk,Silver,USA
M,1920,Athletics,"Athletics Men's 10,000 metres",Bronze,UK
M,1920,Athletics,"Athletics Men's 10,000 metres",Silver,France
M,1920,Athletics,Athletics Men's 100 metres,Bronze,UK
M,1920,Athletics,Athletics Men's 100 metres,Gold,USA
M,1920,Athletics,Athletics Men's 100 metres,Silver,USA
M,1920,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
M,1920,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
M,1920,Athletics,Athletics Men's 200 metres,Bronze,UK
M,1920,Athletics,Athletics Men's 200 metres,Gold,USA
M,1920,Athletics,Athletics Men's 200 metres,Silver,USA
M,1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,UK
M,1920,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver,USA
M,1920,Athletics,"Athletics Men's 3,000 metres Walk",Bronze,USA
M,1920,Athletics,"Athletics Men's 3,000 metres, Team",Gold,USA
M,1920,Athletics,"Athletics Men's 3,000 metres, Team",Silver,UK
M,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,USA
M,1920,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,France
M,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,France
M,1920,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,UK
M,1920,Athletics,Athletics Men's 400 metres,Silver,UK
M,1920,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
M,1920,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
M,1920,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
M,1920,Athletics,"Athletics Men's 5,000 metres",Gold,France
M,1920,Athletics,Athletics Men's 56-pound Weight Throw,Gold,USA
M,1920,Athletics,Athletics Men's 56-pound Weight Throw,Silver,USA
M,1920,Athletics,Athletics Men's 800 metres,Gold,UK
M,1920,Athletics,Athletics Men's 800 metres,Silver,USA
M,1920,Athletics,"Athletics Men's Cross-Country, Team",Silver,UK
M,1920,Athletics,Athletics Men's Decathlon,Silver,USA
M,1920,Athletics,Athletics Men's Discus Throw,Bronze,USA
M,1920,Athletics,Athletics Men's Hammer Throw,Bronze,USA
M,1920,Athletics,Athletics Men's Hammer Throw,Gold,USA
M,1920,Athletics,Athletics Men's High Jump,Gold,USA
M,1920,Athletics,Athletics Men's High Jump,Silver,USA
M,1920,Athletics,Athletics Men's Long Jump,Silver,USA
M,1920,Athletics,Athletics Men's Pentathlon,Silver,USA
M,1920,Athletics,Athletics Men's Pole Vault,Bronze,USA
M,1920,Athletics,Athletics Men's Pole Vault,Gold,USA
M,1920,Athletics,Athletics Men's Shot Put,Bronze,USA
M,1920,Ballgames,Hockey Men's Hockey,Gold,UK
M,1920,Ballgames,Ice Hockey Men's Ice Hockey,Silver,USA
M,1920,Ballgames,Polo Men's Polo,Bronze,USA
M,1920,Ballgames,Polo Men's Polo,Gold,UK
M,1920,Ballgames,Rugby Men's Rugby,Gold,USA
M,1920,Ballgames,Rugby Men's Rugby,Silver,France
M,1920,Ballgames,Tennis Men's Doubles,Bronze,France
M,1920,Ballgames,Tennis Men's Doubles,Gold,UK
F,1920,Ballgames,Tennis Mixed Doubles,Gold,France
M,1920,Ballgames,Tennis Mixed Doubles,Gold,France
F,1920,Ballgames,Tennis Mixed Doubles,Silver,UK
M,1920,Ballgames,Tennis Mixed Doubles,Silver,UK
F,1920,Ballgames,Tennis Women's Doubles,Bronze,France
F,1920,Ballgames,Tennis Women's Doubles,Gold,UK
F,1920,Ballgames,Tennis Women's Doubles,Silver,UK
F,1920,Ballgames,Tennis Women's Singles,Bronze,UK
F,1920,Ballgames,Tennis Women's Singles,Gold,France
F,1920,Ballgames,Tennis Women's Singles,Silver,UK
M,1920,Ballgames,Water Polo Men's Water Polo,Gold,UK
M,1920,Combat,Boxing Men's Bantamweight,Bronze,UK
M,1920,Combat,Boxing Men's Featherweight,Gold,France
M,1920,Combat,Boxing Men's Featherweight,Silver,France
M,1920,Combat,Boxing Men's Flyweight,Bronze,UK
M,1920,Combat,Boxing Men's Flyweight,Gold,USA
M,1920,Combat,Boxing Men's Heavyweight,Bronze,France
M,1920,Combat,Boxing Men's Heavyweight,Gold,UK
M,1920,Combat,Boxing Men's Light-Heavyweight,Bronze,UK
M,1920,Combat,Boxing Men's Light-Heavyweight,Gold,USA
M,1920,Combat,Boxing Men's Lightweight,Gold,USA
M,1920,Combat,Boxing Men's Middleweight,Gold,UK
M,1920,Combat,Boxing Men's Welterweight,Bronze,USA
M,1920,Combat,Boxing Men's Welterweight,Silver,UK
M,1920,Combat,"Fencing Men's Foil, Individual",Bronze,France
M,1920,Combat,"Fencing Men's Foil, Individual",Silver,France
M,1920,Combat,"Fencing Men's Foil, Team",Bronze,USA
M,1920,Combat,"Fencing Men's Foil, Team",Silver,France
M,1920,Combat,"Fencing Men's Sabre, Team",Silver,France
M,1920,Combat,"Fencing Men's epee, Individual",Bronze,France
M,1920,Combat,"Fencing Men's epee, Individual",Gold,France
M,1920,Combat,"Fencing Men's epee, Individual",Silver,France
M,1920,Combat,"Fencing Men's epee, Team",Bronze,France
M,1920,Combat,"Wrestling Men's Featherweight, Freestyle",Bronze,UK
M,1920,Combat,"Wrestling Men's Featherweight, Freestyle",Gold,USA
M,1920,Combat,"Wrestling Men's Featherweight, Freestyle",Silver,USA
M,1920,Combat,"Wrestling Men's Heavyweight, Freestyle",Bronze,USA
M,1920,Combat,"Wrestling Men's Heavyweight, Freestyle",Silver,USA
M,1920,Combat,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,USA
M,1920,Combat,"Wrestling Men's Lightweight, Freestyle",Bronze,UK
M,1920,Combat,"Wrestling Men's Middleweight, Freestyle",Bronze,USA
M,1920,Cycling,Cycling Men's 50 kilometres,Silver,UK
M,1920,Cycling,"Cycling Men's Road Race, Individual",Bronze,France
M,1920,Cycling,"Cycling Men's Road Race, Team",Gold,France
M,1920,Cycling,Cycling Men's Sprint,Bronze,UK
M,1920,Cycling,Cycling Men's Sprint,Silver,UK
M,1920,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,UK
M,1920,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,UK
M,1920,Equestrian,"Equestrianism Men's Vaulting, Individual",Silver,France
M,1920,Equestrian,"Equestrianism Men's Vaulting, Team",Silver,France
M,1920,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,France
M,1920,Gymnastics,Gymnastics Men's Individual All-Around,Silver,France
M,1920,Gymnastics,Gymnastics Men's Team All-Around,Bronze,France
M,1920,Others,Art Competitions Mixed Literature,Silver,UK
F,1920,Others,Art Competitions Mixed Painting,Silver,France
F,1920,Others,Figure Skating Mixed Pairs,Bronze,UK
M,1920,Others,Figure Skating Mixed Pairs,Bronze,UK
F,1920,Others,Figure Skating Women's Singles,Bronze,USA
M,1920,Others,Tug-Of-War Men's Tug-Of-War,Gold,UK
M,1920,Shooting,"Archery Men's Target Archery, 28 metres, Individual",Silver,France
M,1920,Shooting,"Archery Men's Target Archery, 28 metres, Team",Bronze,France
M,1920,Shooting,"Archery Men's Target Archery, 33 metres, Individual",Silver,France
M,1920,Shooting,"Archery Men's Target Archery, 33 metres, Team",Silver,France
M,1920,Shooting,"Archery Men's Target Archery, 50 metres, Individual",Gold,France
M,1920,Shooting,"Archery Men's Target Archery, 50 metres, Team",Silver,France
M,1920,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze,USA
M,1920,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold,USA
M,1920,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold,USA
M,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Military Pistol, 30 metres",Silver,USA
M,1920,Shooting,"Shooting Men's Military Pistol, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",Silver,France
M,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Silver,France
M,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres",Bronze,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Bronze,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold,USA
M,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Silver,USA
M,1920,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,USA
M,1920,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold,USA
M,1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Bronze,USA
M,1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Gold,USA
M,1920,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Silver,USA
M,1920,Shooting,Shooting Men's Trap,Bronze,USA
M,1920,Shooting,Shooting Men's Trap,Gold,USA
M,1920,Shooting,Shooting Men's Trap,Silver,USA
M,1920,Shooting,"Shooting Men's Trap, Team",Gold,USA
M,1920,Weightlifting,Weightlifting Men's Heavyweight,Bronze,France
M,1920,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,France
M,1920,Weightlifting,Weightlifting Men's Middleweight,Gold,France
M,1924,Aquatics,Diving Men's Plain High,Bronze,UK
M,1924,Aquatics,Diving Men's Platform,Bronze,USA
M,1924,Aquatics,Diving Men's Platform,Gold,USA
M,1924,Aquatics,Diving Men's Platform,Silver,USA
M,1924,Aquatics,Diving Men's Springboard,Bronze,USA
M,1924,Aquatics,Diving Men's Springboard,Gold,USA
M,1924,Aquatics,Diving Men's Springboard,Silver,USA
F,1924,Aquatics,Diving Women's Plain High,Gold,USA
F,1924,Aquatics,Diving Women's Plain High,Silver,USA
F,1924,Aquatics,Diving Women's Springboard,Bronze,USA
F,1924,Aquatics,Diving Women's Springboard,Gold,USA
F,1924,Aquatics,Diving Women's Springboard,Silver,USA
M,1924,Aquatics,Rowing Men's Coxed Eights,Gold,USA
M,1924,Aquatics,Rowing Men's Coxed Fours,Bronze,USA
M,1924,Aquatics,Rowing Men's Coxed Fours,Silver,France
M,1924,Aquatics,Rowing Men's Coxed Pairs,Bronze,USA
M,1924,Aquatics,Rowing Men's Coxless Fours,Gold,UK
M,1924,Aquatics,Rowing Men's Coxless Pairs,Silver,France
M,1924,Aquatics,Rowing Men's Double Sculls,Gold,USA
M,1924,Aquatics,Rowing Men's Double Sculls,Silver,France
M,1924,Aquatics,Rowing Men's Single Sculls,Gold,UK
M,1924,Aquatics,Rowing Men's Single Sculls,Silver,USA
M,1924,Aquatics,Sailing Mixed 8 metres,Bronze,France
M,1924,Aquatics,Sailing Mixed 8 metres,Silver,UK
M,1924,Aquatics,Swimming Men's 100 metres Backstroke,Gold,USA
M,1924,Aquatics,Swimming Men's 100 metres Backstroke,Silver,USA
M,1924,Aquatics,Swimming Men's 100 metres Freestyle,Bronze,USA
M,1924,Aquatics,Swimming Men's 100 metres Freestyle,Gold,USA
M,1924,Aquatics,Swimming Men's 100 metres Freestyle,Silver,USA
M,1924,Aquatics,Swimming Men's 200 metres Breaststroke,Bronze,USA
M,1924,Aquatics,Swimming Men's 200 metres Breaststroke,Gold,USA
M,1924,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,USA
M,1924,Aquatics,Swimming Men's 400 metres Freestyle,Gold,USA
F,1924,Aquatics,Swimming Women's 100 metres Backstroke,Bronze,USA
F,1924,Aquatics,Swimming Women's 100 metres Backstroke,Gold,USA
F,1924,Aquatics,Swimming Women's 100 metres Backstroke,Silver,UK
F,1924,Aquatics,Swimming Women's 100 metres Freestyle,Bronze,USA
F,1924,Aquatics,Swimming Women's 100 metres Freestyle,Gold,USA
F,1924,Aquatics,Swimming Women's 100 metres Freestyle,Silver,USA
F,1924,Aquatics,Swimming Women's 200 metres Breaststroke,Bronze,UK
F,1924,Aquatics,Swimming Women's 200 metres Breaststroke,Gold,UK
F,1924,Aquatics,Swimming Women's 200 metres Breaststroke,Silver,USA
F,1924,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
F,1924,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,UK
F,1924,Aquatics,Swimming Women's 400 metres Freestyle,Bronze,USA
F,1924,Aquatics,Swimming Women's 400 metres Freestyle,Gold,USA
F,1924,Aquatics,Swimming Women's 400 metres Freestyle,Silver,USA
M,1924,Athletics,"Athletics Men's 1,500 metres",Bronze,UK
M,1924,Athletics,Athletics Men's 10 kilometres Walk,Silver,UK
M,1924,Athletics,Athletics Men's 100 metres,Gold,UK
M,1924,Athletics,Athletics Men's 100 metres,Silver,USA
M,1924,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
M,1924,Athletics,Athletics Men's 200 metres,Bronze,UK
M,1924,Athletics,Athletics Men's 200 metres,Gold,USA
M,1924,Athletics,Athletics Men's 200 metres,Silver,USA
M,1924,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,France
M,1924,Athletics,"Athletics Men's 3,000 metres, Team",Bronze,USA
M,1924,Athletics,"Athletics Men's 3,000 metres, Team",Silver,UK
M,1924,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,USA
M,1924,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,UK
M,1924,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,UK
M,1924,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,USA
M,1924,Athletics,Athletics Men's 400 metres,Bronze,UK
M,1924,Athletics,Athletics Men's 400 metres,Gold,UK
M,1924,Athletics,Athletics Men's 400 metres,Silver,USA
M,1924,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
M,1924,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
M,1924,Athletics,Athletics Men's 800 metres,Bronze,USA
M,1924,Athletics,Athletics Men's 800 metres,Gold,UK
M,1924,Athletics,"Athletics Men's Cross-Country, Individual",Bronze,USA
M,1924,Athletics,"Athletics Men's Cross-Country, Team",Bronze,France
M,1924,Athletics,"Athletics Men's Cross-Country, Team",Silver,USA
M,1924,Athletics,Athletics Men's Decathlon,Gold,USA
M,1924,Athletics,Athletics Men's Decathlon,Silver,USA
M,1924,Athletics,Athletics Men's Discus Throw,Bronze,USA
M,1924,Athletics,Athletics Men's Discus Throw,Gold,USA
M,1924,Athletics,Athletics Men's Hammer Throw,Bronze,UK
M,1924,Athletics,Athletics Men's Hammer Throw,Gold,USA
M,1924,Athletics,Athletics Men's Hammer Throw,Silver,USA
M,1924,Athletics,Athletics Men's High Jump,Bronze,France
M,1924,Athletics,Athletics Men's High Jump,Gold,USA
M,1924,Athletics,Athletics Men's High Jump,Silver,USA
M,1924,Athletics,Athletics Men's Javelin Throw,Bronze,USA
M,1924,Athletics,Athletics Men's Long Jump,Gold,USA
M,1924,Athletics,Athletics Men's Long Jump,Silver,USA
M,1924,Athletics,Athletics Men's Marathon,Bronze,USA
M,1924,Athletics,Athletics Men's Pentathlon,Bronze,USA
M,1924,Athletics,Athletics Men's Pole Vault,Bronze,USA
M,1924,Athletics,Athletics Men's Pole Vault,Gold,USA
M,1924,Athletics,Athletics Men's Pole Vault,Silver,USA
M,1924,Athletics,Athletics Men's Shot Put,Bronze,USA
M,1924,Athletics,Athletics Men's Shot Put,Gold,USA
M,1924,Athletics,Athletics Men's Shot Put,Silver,USA
M,1924,Ballgames,Polo Men's Polo,Bronze,UK
M,1924,Ballgames,Polo Men's Polo,Silver,USA
M,1924,Ballgames,Rugby Men's Rugby,Gold,USA
M,1924,Ballgames,Rugby Men's Rugby,Silver,France
M,1924,Ballgames,Tennis Men's Doubles,Bronze,France
M,1924,Ballgames,Tennis Men's Doubles,Gold,USA
M,1924,Ballgames,Tennis Men's Doubles,Silver,France
M,1924,Ballgames,Tennis Men's Singles,Gold,USA
M,1924,Ballgames,Tennis Men's Singles,Silver,France
F,1924,Ballgames,Tennis Mixed Doubles,Gold,USA
M,1924,Ballgames,Tennis Mixed Doubles,Gold,USA
F,1924,Ballgames,Tennis Mixed Doubles,Silver,USA
M,1924,Ballgames,Tennis Mixed Doubles,Silver,USA
F,1924,Ballgames,Tennis Women's Doubles,Bronze,UK
F,1924,Ballgames,Tennis Women's Doubles,Gold,USA
F,1924,Ballgames,Tennis Women's Doubles,Silver,UK
F,1924,Ballgames,Tennis Women's Singles,Bronze,UK
F,1924,Ballgames,Tennis Women's Singles,Gold,USA
F,1924,Ballgames,Tennis Women's Singles,Silver,France
M,1924,Ballgames,Water Polo Men's Water Polo,Bronze,USA
M,1924,Ballgames,Water Polo Men's Water Polo,Gold,France
M,1924,Combat,Boxing Men's Bantamweight,Bronze,France
M,1924,Combat,Boxing Men's Bantamweight,Silver,USA
M,1924,Combat,Boxing Men's Featherweight,Gold,USA
M,1924,Combat,Boxing Men's Featherweight,Silver,USA
M,1924,Combat,Boxing Men's Flyweight,Bronze,USA
M,1924,Combat,Boxing Men's Flyweight,Gold,USA
M,1924,Combat,Boxing Men's Flyweight,Silver,UK
M,1924,Combat,Boxing Men's Light-Heavyweight,Gold,UK
M,1924,Combat,Boxing Men's Lightweight,Bronze,USA
M,1924,Combat,Boxing Men's Middleweight,Gold,UK
M,1924,Combat,Boxing Men's Middleweight,Silver,UK
M,1924,Combat,"Fencing Men's Foil, Individual",Gold,France
M,1924,Combat,"Fencing Men's Foil, Individual",Silver,France
M,1924,Combat,"Fencing Men's Foil, Team",Gold,France
M,1924,Combat,"Fencing Men's Sabre, Individual",Silver,France
M,1924,Combat,"Fencing Men's epee, Individual",Silver,France
M,1924,Combat,"Fencing Men's epee, Team",Gold,France
F,1924,Combat,"Fencing Women's Foil, Individual",Silver,UK
M,1924,Combat,"Wrestling Men's Bantamweight, Freestyle",Bronze,USA
M,1924,Combat,"Wrestling Men's Featherweight, Freestyle",Gold,USA
M,1924,Combat,"Wrestling Men's Featherweight, Freestyle",Silver,USA
M,1924,Combat,"Wrestling Men's Heavyweight, Freestyle",Bronze,UK
M,1924,Combat,"Wrestling Men's Heavyweight, Freestyle",Gold,USA
M,1924,Combat,"Wrestling Men's Heavyweight, Greco-Roman",Gold,France
M,1924,Combat,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,USA
M,1924,Combat,"Wrestling Men's Lightweight, Freestyle",Gold,USA
M,1924,Cycling,Cycling Men's 50 kilometres,Bronze,UK
M,1924,Cycling,Cycling Men's 50 kilometres,Silver,UK
M,1924,Cycling,"Cycling Men's Road Race, Individual",Bronze,France
M,1924,Cycling,"Cycling Men's Road Race, Individual",Gold,France
M,1924,Cycling,"Cycling Men's Road Race, Team",Gold,France
M,1924,Cycling,Cycling Men's Sprint,Bronze,France
M,1924,Cycling,Cycling Men's Sprint,Gold,France
M,1924,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,France
M,1924,Equestrian,"Equestrianism Men's Dressage, Individual",Bronze,France
M,1924,Equestrian,"Equestrianism Men's Three-Day Event, Individual",Bronze,USA
M,1924,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,France
M,1924,Gymnastics,Gymnastics Men's Horse Vault,Gold,USA
M,1924,Gymnastics,Gymnastics Men's Rope Climbing,Silver,France
M,1924,Gymnastics,Gymnastics Men's Side Horse,Gold,France
M,1924,Gymnastics,Gymnastics Men's Side Horse,Silver,France
M,1924,Gymnastics,Gymnastics Men's Team All-Around,Silver,France
M,1924,Others,Art Competitions Mixed Literature,Bronze,France
M,1924,Others,Art Competitions Mixed Literature,Gold,France
F,1924,Others,Art Competitions Mixed Literature,Silver,UK
M,1924,Others,Art Competitions Mixed Sculpturing,Bronze,France
M,1924,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Gold,USA
M,1924,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Silver,France
M,1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Gold,USA
M,1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Silver,USA
M,1924,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold,USA
M,1924,Shooting,"Shooting Men's Running Target, Double Shot",Silver,UK
M,1924,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold,UK
M,1924,Shooting,"Shooting Men's Running Target, Single Shot",Gold,USA
M,1924,Shooting,"Shooting Men's Running Target, Single Shot",Silver,UK
M,1924,Shooting,"Shooting Men's Running Target, Single Shot, Team",Bronze,USA
M,1924,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold,France
M,1924,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,USA
M,1924,Shooting,Shooting Men's Trap,Bronze,USA
M,1924,Shooting,"Shooting Men's Trap, Team",Gold,USA
M,1924,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,France
M,1924,Weightlifting,Weightlifting Men's Lightweight,Gold,France
M,1928,Aquatics,Diving Men's Platform,Bronze,USA
M,1928,Aquatics,Diving Men's Platform,Gold,USA
M,1928,Aquatics,Diving Men's Springboard,Gold,USA
M,1928,Aquatics,Diving Men's Springboard,Silver,USA
F,1928,Aquatics,Diving Women's Platform,Gold,USA
F,1928,Aquatics,Diving Women's Platform,Silver,USA
F,1928,Aquatics,Diving Women's Springboard,Bronze,USA
F,1928,Aquatics,Diving Women's Springboard,Gold,USA
F,1928,Aquatics,Diving Women's Springboard,Silver,USA
M,1928,Aquatics,Rowing Men's Coxed Eights,Gold,USA
M,1928,Aquatics,Rowing Men's Coxed Eights,Silver,UK
M,1928,Aquatics,Rowing Men's Coxed Pairs,Silver,France
M,1928,Aquatics,Rowing Men's Coxless Fours,Gold,UK
M,1928,Aquatics,Rowing Men's Coxless Fours,Silver,USA
M,1928,Aquatics,Rowing Men's Coxless Pairs,Bronze,USA
M,1928,Aquatics,Rowing Men's Coxless Pairs,Gold,Germany
M,1928,Aquatics,Rowing Men's Coxless Pairs,Silver,UK
M,1928,Aquatics,Rowing Men's Double Sculls,Gold,USA
M,1928,Aquatics,Rowing Men's Single Sculls,Bronze,UK
M,1928,Aquatics,Rowing Men's Single Sculls,Silver,USA
F,1928,Aquatics,Sailing Mixed 8 metres,Gold,France
M,1928,Aquatics,Sailing Mixed 8 metres,Gold,France
M,1928,Aquatics,"Swimming Men's 1,500 metres Freestyle",Bronze,USA
M,1928,Aquatics,Swimming Men's 100 metres Backstroke,Bronze,USA
M,1928,Aquatics,Swimming Men's 100 metres Backstroke,Gold,USA
M,1928,Aquatics,Swimming Men's 100 metres Backstroke,Silver,USA
M,1928,Aquatics,Swimming Men's 100 metres Freestyle,Gold,USA
M,1928,Aquatics,Swimming Men's 200 metres Breaststroke,Silver,Germany
M,1928,Aquatics,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,USA
F,1928,Aquatics,Swimming Women's 100 metres Backstroke,Bronze,UK
F,1928,Aquatics,Swimming Women's 100 metres Backstroke,Silver,UK
F,1928,Aquatics,Swimming Women's 100 metres Freestyle,Bronze,UK
F,1928,Aquatics,Swimming Women's 100 metres Freestyle,Gold,USA
F,1928,Aquatics,Swimming Women's 100 metres Freestyle,Silver,USA
F,1928,Aquatics,Swimming Women's 200 metres Breaststroke,Bronze,Germany
F,1928,Aquatics,Swimming Women's 200 metres Breaststroke,Gold,Germany
F,1928,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,USA
F,1928,Aquatics,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,UK
F,1928,Aquatics,Swimming Women's 400 metres Freestyle,Bronze,USA
F,1928,Aquatics,Swimming Women's 400 metres Freestyle,Gold,USA
M,1928,Athletics,"Athletics Men's 1,500 metres",Silver,France
M,1928,Athletics,Athletics Men's 100 metres,Bronze,Germany
M,1928,Athletics,Athletics Men's 100 metres,Silver,UK
M,1928,Athletics,Athletics Men's 110 metres Hurdles,Bronze,USA
M,1928,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
M,1928,Athletics,Athletics Men's 200 metres,Bronze,Germany
M,1928,Athletics,Athletics Men's 200 metres,Silver,UK
M,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,UK
M,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,USA
M,1928,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,Germany
M,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,USA
M,1928,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Germany
